PATTERN: 0xff00
PING facebook.com (157.240.16.35) 56(84) bytes of data.
55.2 ms
60.1 ms
45.0 ms
40.3 ms
37.9 ms
75.9 ms
72.6 ms
30.3 ms
30.1 ms
67.2 ms
65.2 ms
69.9 ms
61.8 ms
61.1 ms
58.9 ms
57.9 ms
57.2 ms
55.0 ms
50.6 ms
51.7 ms
49.3 ms
47.6 ms
57.1 ms
46.6 ms
43.0 ms
68.4 ms
62.6 ms
59.1 ms
57.9 ms
50.5 ms
73.7 ms
32.1 ms
30.4 ms
27.7 ms
66.6 ms
72.4 ms
61.2 ms
69.7 ms
57.9 ms
58.0 ms
57.0 ms
54.0 ms
51.1 ms
50.0 ms
48.3 ms
65.6 ms
73.1 ms
62.5 ms
32.4 ms
42.2 ms
129 ms
33.4 ms
53.5 ms
71.1 ms
28.5 ms
66.8 ms
60.2 ms
73.3 ms
81.2 ms
59.3 ms
47.7 ms
75.5 ms
62.4 ms
70.2 ms
49.6 ms
47.7 ms
46.3 ms
33.7 ms
41.7 ms
40.9 ms
39.2 ms
37.6 ms
74.9 ms
35.0 ms
72.7 ms
70.8 ms
30.6 ms
27.8 ms
67.4 ms
40.1 ms
63.5 ms
60.9 ms
60.4 ms
47.0 ms
57.3 ms
54.5 ms
37.3 ms
40.8 ms
49.7 ms
46.3 ms
48.0 ms
61.9 ms
41.6 ms
38.9 ms
38.5 ms
64.7 ms
34.3 ms
71.8 ms
70.2 ms
62.3 ms
67.1 ms
66.7 ms
65.3 ms
63.5 ms
68.5 ms
58.3 ms
55.6 ms
45.6 ms
54.0 ms
60.6 ms
49.1 ms
57.4 ms
43.9 ms
43.4 ms
41.7 ms
40.9 ms
68.8 ms
39.9 ms
55.7 ms
50.5 ms
32.8 ms
31.1 ms
70.7 ms
27.6 ms
65.8 ms
65.5 ms
64.3 ms
69.7 ms
98.9 ms
59.2 ms
99.3 ms
44.2 ms
51.6 ms
96.0 ms
49.2 ms
77.0 ms
71.3 ms
30.1 ms
49.6 ms
95.0 ms
46.1 ms
71.3 ms
41.7 ms
76.6 ms
54.8 ms
34.8 ms
51.8 ms
50.0 ms
63.3 ms
25.7 ms
44.7 ms
44.6 ms
41.2 ms
38.2 ms
59.7 ms
37.7 ms
86.9 ms
51.1 ms
35.3 ms
43.0 ms
32.6 ms
30.2 ms
30.5 ms
28.0 ms
47.4 ms
65.2 ms
63.7 ms
67.9 ms
71.5 ms
60.7 ms
58.9 ms
57.3 ms
55.1 ms
54.3 ms
54.4 ms
50.7 ms
58.6 ms
65.7 ms
72.8 ms
82.1 ms
48.7 ms
38.6 ms
36.4 ms
34.7 ms
56.2 ms
51.7 ms
50.4 ms
38.1 ms
38.4 ms
34.5 ms
43.3 ms
208 ms
101 ms
44.4 ms
25.6 ms
35.9 ms
40.9 ms
30.5 ms
39.0 ms
37.7 ms
35.5 ms
35.2 ms
42.2 ms
38.7 ms
46.8 ms
37.2 ms
34.0 ms
43.7 ms
232 ms
64.9 ms
36.5 ms
35.1 ms
33.5 ms
39.8 ms
40.9 ms
36.5 ms
35.0 ms
33.4 ms
33.9 ms
40.0 ms
38.7 ms
45.5 ms
34.6 ms
33.2 ms
43.9 ms
47.4 ms
58.9 ms
56.7 ms
57.4 ms
32.7 ms
30.5 ms
39.6 ms
35.3 ms
33.6 ms
31.7 ms
39.8 ms
44.5 ms
37.1 ms
36.0 ms
32.8 ms
42.2 ms
30.5 ms
37.8 ms
37.8 ms
37.1 ms
35.8 ms
71.6 ms
609 ms
449 ms
413 ms
250 ms
191 ms
384 ms
65.9 ms
47.8 ms
38.5 ms
750 ms
358 ms
576 ms
290 ms
331 ms
319 ms
40.1 ms
33.5 ms
279 ms
34.7 ms
53.9 ms
32.1 ms
49.1 ms
80.9 ms
58.8 ms
59.0 ms
989 ms
875 ms
517 ms
76.8 ms
50.3 ms
53.9 ms
62.5 ms
42.8 ms
43.3 ms
47.3 ms
50.7 ms
41.9 ms
39.3 ms
108 ms
55.8 ms
44.8 ms
53.8 ms
53.9 ms
34.1 ms
52.4 ms
52.5 ms
30.6 ms
50.1 ms
29.5 ms
60.3 ms
69.3 ms
112 ms
69.6 ms
76.4 ms
63.5 ms
124 ms
76.1 ms
69.6 ms
59.0 ms
77.3 ms
54.4 ms
51.9 ms
50.6 ms
48.0 ms
45.8 ms
43.2 ms
66.4 ms
49.5 ms
50.9 ms
37.3 ms
36.2 ms
75.5 ms
92.3 ms
52.6 ms
88.8 ms
68.8 ms
66.1 ms
64.8 ms
52.4 ms
44.4 ms
58.6 ms
56.2 ms
54.8 ms
52.5 ms
59.3 ms
49.4 ms
47.6 ms
58.8 ms
51.8 ms
40.6 ms
38.1 ms
37.5 ms
36.5 ms
73.6 ms
63.6 ms
51.0 ms
81.0 ms
81.6 ms
46.0 ms
70.2 ms
65.2 ms
63.5 ms
73.1 ms
64.3 ms
62.9 ms
58.0 ms
65.5 ms
50.8 ms
48.2 ms
48.7 ms
47.1 ms
53.7 ms
47.0 ms
79.0 ms
38.1 ms
38.4 ms
35.1 ms
72.3 ms
41.5 ms
39.8 ms
42.2 ms
65.3 ms
64.5 ms
63.0 ms
59.4 ms
58.9 ms
56.4 ms
61.1 ms
53.1 ms
51.5 ms
50.4 ms
46.7 ms
42.5 ms
70.3 ms
71.4 ms
66.4 ms
76.8 ms
64.2 ms
61.9 ms
61.2 ms
63.7 ms
48.8 ms
75.7 ms
54.9 ms
53.6 ms
51.5 ms
49.0 ms
48.4 ms
62.3 ms
43.5 ms
93.9 ms
39.8 ms
38.1 ms
80.4 ms
95.8 ms
52.8 ms
34.0 ms
45.3 ms
69.2 ms
26.7 ms
66.4 ms
63.4 ms
47.0 ms
59.5 ms
58.3 ms
67.3 ms
57.6 ms
63.0 ms
61.4 ms
47.9 ms
47.4 ms
45.5 ms
44.1 ms
42.3 ms
49.1 ms
38.1 ms
75.9 ms
50.5 ms
43.9 ms
31.7 ms
39.0 ms
67.3 ms
69.4 ms
85.0 ms
73.9 ms
71.3 ms
60.2 ms
57.0 ms
41.0 ms
74.7 ms
51.5 ms
59.4 ms
48.1 ms
47.8 ms
44.0 ms
53.0 ms
45.8 ms
48.0 ms
118 ms
56.7 ms
32.1 ms
72.6 ms
28.9 ms
25.7 ms
66.4 ms
118 ms
61.3 ms
58.3 ms
58.0 ms
55.5 ms
52.5 ms
52.3 ms
48.7 ms
50.0 ms
46.0 ms
89.4 ms
42.7 ms
49.9 ms
41.2 ms
43.9 ms
75.5 ms
57.2 ms
73.9 ms
32.3 ms
70.9 ms
43.4 ms
66.7 ms
51.1 ms
49.4 ms
61.6 ms
43.9 ms
57.7 ms
55.6 ms
54.0 ms
52.6 ms
60.7 ms
54.1 ms
56.4 ms
45.0 ms
65.9 ms
61.6 ms
44.0 ms
43.0 ms
40.6 ms
44.8 ms
38.9 ms
56.0 ms
52.3 ms
33.4 ms
52.0 ms
29.6 ms
28.8 ms
48.2 ms
64.4 ms
42.2 ms
41.0 ms
64.0 ms
37.0 ms
55.4 ms
34.7 ms
34.8 ms
49.5 ms
48.7 ms
46.2 ms
49.5 ms
42.6 ms
101 ms
63.7 ms
87.8 ms
43.9 ms
35.5 ms
31.7 ms
40.5 ms
29.7 ms
42.0 ms
57.8 ms
46.0 ms
43.0 ms
41.8 ms
39.0 ms
37.2 ms
57.4 ms
55.1 ms
52.9 ms
61.9 ms
58.6 ms
57.8 ms
55.7 ms
44.3 ms
61.5 ms
82.0 ms
81.8 ms
67.0 ms
75.3 ms
53.3 ms
52.6 ms
48.9 ms
52.4 ms
47.5 ms

--- facebook.com ping statistics ---
1000 packets transmitted, 1000 received, 0% packet loss, time 1000656ms

